atlas_partner_id,nev,partner_telephely_id,telepules,kozterulet_nev,kozterulet_jelleg,hazszam,epulet,lepcsohaz,emelet,szekhely,ajto,helyrajzi_szam
1388088,Prograg-Agrárcentrum Kft.,1005950,Ráckeresztúr,László,puszta,0201/1,,,,True,,
1034609,Sió-Eckes Kft.,1005974,Siófok,Május,utca,61,,,,True,,
1389649,Ratfor-Ker Ker.és Szolg.Kft.,1005976,Soltvadkert,Bócsai,út,35,,,,True,,0180/9
1388018,Eiler Attila Gyula ev.,1005981,Soltvadkert,Eötvös,utca,18/A,,,,True,,
1389479,WINEGARDEN Kft.,1005985,Soltvadkert,Szentháromság,utca,110,,,,True,,
1034067,Heineken Hungária Zrt.,1005990,Sopron,Vándor Sándor,út,1,,,,True,,
1034625,Spirits-68 Kft,1006002,Szár,József Attila,utca,,,,,True,,66
1033989,Gallicoop Zrt.,1006008,Szarvas,531/1,ipartelep,,,,,True,,531/1
1033587,Alföldi Tej Értékesítő és Beszerző Kft.,1006023,Székesfehérvár,Seregélyesi,út,127,,,,True,,
1034701,Techno-Trade Kft,1006025,Székesfehérvár,Károly János,utca,20,,,,True,,
1033923,Fevita Hungary,1006026,Székesfehérvár,Raktár,utca,1,,,,True,,
1034341,Milla Healthy Food Kft.,1006039,Szentendre,Tiszteletes,utca,8,,,,True,,
1034391,Nektária Kft.,1006047,Szigetmonostor,Köztársaság,utca,9,,,,True,,
1033877,Első Magyar Pékpont- Rendszer Kft.,1006050,Szigetszentmiklós,Csepeli,út,28,,,,True,,
1034113,I.D.C. Hungária ZRt.,1006052,Szigetszentmiklós,Leshegy,út,3,,,,True,,
1034243,Latinum ZRt.,1006058,Szigetszentmiklós,Leshegy,utca,,,,,True,,12217/7
1034053,Hansa Italdiszkont - Szolnok,1006068,Szolnok,Csaba,utca,28,,,,False,,
1034209,Kovács László ev.,1006085,Takácsi,Marcaltői,utca,4,,,,True,,
1034691,Tamási - Hús Kft.,1006087,Tamási,Dózsa György,utca,123,,,,True,,
1388084,Manna Food Kft.,1006094,Tápszentmiklós,Fő,utca,38,,,,True,,
1390060,SPH Trend Kft.,1006099,Tárnok,Ősz,utca,15.,,,,True,,
1034405,Nógrádi Vegyipari Zrt.,1006128,Tolmács,Arany János,utca,2,,,,True,,
1389657,Schmidt Zoltán EV.,1006134,Tolna,Bajcsy Zsilinszki,utca,33,,,,True,,
1034671,Szimita-Trade Kft.,1006163,Újfehértó,Széchenyi,utca,19,,,,True,,
1034015,GLC-mentes Kft.,1006172,Újlengyel,Petőfi Sándor,utca,48,,,,True,,
1033697,Bolyhos Pálinka Kft.,1006175,Újszilvás,Bicskei,út,34,,,,True,,
1387990,Summa-Meat Factory Kft.,1006178,Üllő,Lóránth Gyula,utca,8,,,,True,,
1034381,Naszálytej Zrt.,1006183,Vác,Deákvári,fasor,10,,,,True,,
1034141,Jégtrade Kft.,1006208,Vecsés,Ecseri,út,,,,,True,,0127/15/A
1033913,Fazekas Tartósító és Kereskedelmi Kft.,1006215,Vecsés,Malom,utca,17,A,,,True,,
1033681,Bivalyos Tanya Kft.,1006230,Ásotthalom,Bartók Béla,utca,31,,,,True,,
1389906,Zimek Pálinka Kft.,1006237,Zamárdi,Endrési,út,061/24.,,,,True,,061/24.
1034163,Kapos Ternero Kft,1006245,Bárdudvarnok,Bárd,utca,98,B,,,True,,
1326439,Alsógödi PRÍMA Élelmiszerüzlet,1006286,Göd,Pesti,út,7,,,,False,,
1034069,Heinemann Testvérek Kft.,1006287,Gyál,Gorcsev Iván,utca,1,,,,True,,
1033875,Eisberg Hungary Kft.,1006288,Gyál,Kisfaludy,utca,63,,,,True,,
1034559,Royalsekt Zrt.,1006307,Izsák,Agárdy,telep,,,,,True,,
1034219,Kunság Szesz Zrt.,1006331,Kiskőrös,Bánffy,utca,37,,,,True,,
1389197,Fruitful Alföld Kft.,1006344,Magyarbánhegyes,Hunyadi,utca,41,,,,True,,
1326439,Cba Nagykovácsi,1006351,Nagykovácsi,Kossuth,utca,56,,,,False,,
1326439,Remete Csemege,1006352,Nagykovácsi,Nagykovácsi,utca,6,E,,,False,,
1033937,Foltin Globe Kft.,1006357,Nagytarcsa,Naplás,út,20,,,,True,,
1034447,Panna Cocktail Kft.,1006359,Nagytarcsa,Nádas,utca,2,,,,True,,
1034329,Merian Foods Élelmiszeripari Kft.,1006362,Orosháza,Szarvasi,utca,16,,,,True,,
1034075,Hellas-Invest Kft.,1006403,Törökbálint,Raktárvárosi,út,,,,,True,,062/6/B
1387944,Eispro Kft.,1006410,Törökbálint,Tó,utca,4,,,,True,,
1034003,Gergely Gasztronomi Kft.,1006417,Vaskút,Külső,ipartelep,,,,,True,,0588/21
